,Ano,Ordem,Tamanho,Grau Médio,Tamanho Médio
0,2010,44,131,2.977272727272727,6.114503816793893
1,2011,354,6248,17.649717514124294,2.1506081946222793
2,2012,2595,69385,26.73795761078998,2.1737695467320024
3,2013,4862,58171,11.96441793500617,3.45235598494095
4,2014,4329,27476,6.346962346962347,5.237989518124909
5,2015,2710,11657,4.301476014760148,6.746847387835635
6,2016,1450,4402,3.035862068965517,8.38845979100409
7,2017,603,1339,2.2205638474295193,8.493651979088872
8,2018,263,541,2.0570342205323193,8.66543438077634
9,2019,115,282,2.4521739130434783,2.75531914893617
10,2020,71,122,1.7183098591549295,5.122950819672131
